source,target
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM58WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM58WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM59WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM59WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/UTM60WGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/UTM60WGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/WebMercatorQuad.json,http://schemas.opengis.net/tms/2.0/json/WebMercatorQuad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/WorldCRS84Quad.json,http://schemas.opengis.net/tms/2.0/json/WorldCRS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/json/WorldMercatorWGS84Quad.json,http://schemas.opengis.net/tms/2.0/json/WorldMercatorWGS84Quad.json
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/CanadianNAD83_LCC.xml,http://schemas.opengis.net/tms/2.0/xml/CanadianNAD83_LCC.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/CDB1GlobalGrid.xml,http://schemas.opengis.net/tms/2.0/xml/CDB1GlobalGrid.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/EuropeanETRS89_LAEAQuad.xml,http://schemas.opengis.net/tms/2.0/xml/EuropeanETRS89_LAEAQuad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/GNOSISGlobalGrid.xml,http://schemas.opengis.net/tms/2.0/xml/GNOSISGlobalGrid.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UPSAntarcticWGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UPSAntarcticWGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UPSArcticWGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UPSArcticWGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM01WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM01WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM02WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM02WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM03WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM03WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM04WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM04WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM05WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM05WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM06WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM06WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM07WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM07WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM08WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM08WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM09WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM09WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM10WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM10WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM11WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM11WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM12WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM12WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM13WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM13WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM14WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM14WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM15WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM15WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM16WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM16WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM17WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM17WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM18WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM18WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM19WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM19WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM20WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM20WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM21WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM21WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM22WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM22WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM23WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM23WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM24WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM24WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM25WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM25WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM26WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM26WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM27WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM27WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM28WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM28WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM29WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM29WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM30WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM30WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM31WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM31WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM32WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM32WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM33WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM33WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM34WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM34WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM35WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM35WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM36WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM36WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM37WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM37WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM38WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM38WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM39WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM39WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM40WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM40WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM41WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM41WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM42WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM42WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM43WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM43WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM44WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM44WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM45WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM45WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM46WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM46WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM47WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM47WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM48WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM48WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM49WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM49WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM50WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM50WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM51WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM51WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM52WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM52WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM53WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM53WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM54WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM54WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM55WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM55WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM56WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM56WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM57WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM57WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM58WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM58WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM59WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM59WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/UTM60WGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/UTM60WGS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/WebMercatorQuad.xml,http://schemas.opengis.net/tms/2.0/xml/WebMercatorQuad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/WorldCRS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/WorldCRS84Quad.xml
https://defs.opengis.net/vocprez/object?uri=http%3A//schemas.opengis.net/tms/2.0/xml/WorldMercatorWGS84Quad.xml,http://schemas.opengis.net/tms/2.0/xml/WorldMercatorWGS84Quad.xml