geo,https://www.opengis.net/def/namespaces/ogc/1.0/geo,geo,Prefix 'geo' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/geo,https://www.opengis.net/def/namespaces/ogc/1.0/geo,http://www.opengis.net/ont/geosparql#
my,https://www.opengis.net/def/namespaces/ogc/1.0/my,my,Prefix 'my' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/my,https://www.opengis.net/def/namespaces/ogc/1.0/my,http://example.org/ApplicationSchema#
rdf,https://www.opengis.net/def/namespaces/ogc/1.0/rdf,rdf,Prefix 'rdf' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/rdf,https://www.opengis.net/def/namespaces/ogc/1.0/rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs,https://www.opengis.net/def/namespaces/ogc/1.0/rdfs,rdfs,Prefix 'rdfs' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/rdfs,https://www.opengis.net/def/namespaces/ogc/1.0/rdfs,http://www.w3.org/2000/01/rdf-schema#
sf,https://www.opengis.net/def/namespaces/ogc/1.0/sf,sf,Prefix 'sf' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/sf,https://www.opengis.net/def/namespaces/ogc/1.0/sf,http://www.opengis.net/ont/sf#
qudt,https://www.opengis.net/def/namespaces/ogc/1.0/qudt,qudt,Prefix 'qudt' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/qudt,https://www.opengis.net/def/namespaces/ogc/1.0/qudt,http://qudt.org/schema/qudt/
covjson,https://www.opengis.net/def/namespaces/ogc/1.0/covjson,covjson,Prefix 'covjson' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/covjson,https://www.opengis.net/def/namespaces/ogc/1.0/covjson,https://covjson.org/def/core#
covjsondt,https://www.opengis.net/def/namespaces/ogc/1.0/covjsondt,covjsondt,Prefix 'covjsondt' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/covjsondt,https://www.opengis.net/def/namespaces/ogc/1.0/covjsondt,https://covjson.org/def/domainTypes#
xsd,https://www.opengis.net/def/namespaces/ogc/1.0/xsd,xsd,Prefix 'xsd' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/xsd,https://www.opengis.net/def/namespaces/ogc/1.0/xsd,http://www.w3.org/2001/XMLSchema#
ssn,https://www.opengis.net/def/namespaces/ogc/1.0/ssn,ssn,Prefix 'ssn' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/ssn,https://www.opengis.net/def/namespaces/ogc/1.0/ssn,http://www.w3.org/2005/Incubator/ssn/ssnx/ssn#
skos,https://www.opengis.net/def/namespaces/ogc/1.0/skos,skos,Prefix 'skos' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/skos,https://www.opengis.net/def/namespaces/ogc/1.0/skos,http://www.w3.org/2004/02/skos/core#
dct,https://www.opengis.net/def/namespaces/ogc/1.0/dct,dct,Prefix 'dct' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/dct,https://www.opengis.net/def/namespaces/ogc/1.0/dct,http://purl.org/dc/terms/
hydra,https://www.opengis.net/def/namespaces/ogc/1.0/hydra,hydra,Prefix 'hydra' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/hydra,https://www.opengis.net/def/namespaces/ogc/1.0/hydra,http://www.w3.org/namespaces/hydra/core#
qudt,https://www.opengis.net/def/namespaces/ogc/1.0/qudt,qudt,Prefix 'qudt' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/qudt,https://www.opengis.net/def/namespaces/ogc/1.0/qudt,http://qudt.org/schema/qudt#
ignf,https://www.opengis.net/def/namespaces/ogc/1.0/ignf,ignf,Prefix 'ignf' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/ignf,https://www.opengis.net/def/namespaces/ogc/1.0/ignf,http://data.ign.fr/def/ignf#
inspiregloss,https://www.opengis.net/def/namespaces/ogc/1.0/inspiregloss,inspiregloss,Prefix 'inspiregloss' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/inspiregloss,https://www.opengis.net/def/namespaces/ogc/1.0/inspiregloss,http://inspire.ec.europa.eu/glossary/
rel,https://www.opengis.net/def/namespaces/ogc/1.0/rel,rel,Prefix 'rel' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/rel,https://www.opengis.net/def/namespaces/ogc/1.0/rel,http://www.iana.org/assignments/relation/
metocean,https://www.opengis.net/def/namespaces/ogc/1.0/metocean,metocean,Prefix 'metocean' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/metocean,https://www.opengis.net/def/namespaces/ogc/1.0/metocean,https://api.meteogate.eu/profiles/metocean/covjson
cis,https://www.opengis.net/def/namespaces/ogc/1.0/cis,cis,Prefix 'cis' for the namespace https://www.opengis.net/def/namespaces/ogc/1.0/cis,https://www.opengis.net/def/namespaces/ogc/1.0/cis,http://www.opengis.net/cis/1.1/