uri,preLabel,definition
https://www.opengis.net/def/profile/ogc/0/jsonfg-dggs,jsonfg-dggs profile of DGGS zone data,return DGGS-JSON-FG representation; using dggsPlace to encode geometry points quantized to sub-zone; represented as local indices from 1 to the number of sub-zones corresponding to the DGGRS deterministic sub-zone order; with a special value of 0 representing an artificial node
https://www.opengis.net/def/profile/ogc/0/jsonfg-dggs-plus,jsonfg-dggs-plus profile of DGGS zone data,return DGGS-JSON-FG representation; with GeoJSON compatibility geometry
https://www.opengis.net/def/profile/ogc/0/jsonfg-dggs-zoneids,jsonfg-dggs-zoneids profile of DGGS zone data,return DGGS-JSON-FG representation; using dggsPlace to encode geometry points as textual global zone identifiers; with a special value of null representing an artificial node
https://www.opengis.net/def/profile/ogc/0/jsonfg-dggs-zoneids-plus,jsonfg-dggs-zoneids-plus profile of DGGS zone data,return DGGS-JSON-FG representation; encoding geometry points as global zone IDs; with GeoJSON compatibility geometry
https://www.opengis.net/def/profile/ogc/0/netcdf3,netcdf3 profile of DGGS zone data,return NetCDF classic and 64-bit offset format (not quantized to DGGH)
https://www.opengis.net/def/profile/ogc/0/netcdf3-dggs,netcdf3-dggs profile of DGGS zone data,return NetCDF classic and 64-bit offset format where one axis corresponds to local sub-zone indices
https://www.opengis.net/def/profile/ogc/0/netcdf3-dggs-zoneids,netcdf3-dggs-zoneids profile of DGGS zone data,return NetCDF classic and 64-bit offset format where one axis corresponds to the global identifiers of sub-zones (textual or 64-bit integer)
https://www.opengis.net/def/profile/ogc/0/netcdf4,netcdf4 profile of DGGS zone data,return HFG5-based NetCDF 4 format (not quantized to DGGH)
https://www.opengis.net/def/profile/ogc/0/netcdf4-dggs,netcdf4-dggs profile of DGGS zone data,return HDF5-based NetCDF 4 format where one axis corresponds to local sub-zone indices
https://www.opengis.net/def/profile/ogc/0/netcdf4-dggs-zoneids,netcdf4-dggs-zoneids profile of DGGS zone data,return HDF5-based NetCDF 4 format where one axis corresponds to the global identifiers of sub-zones (textual or 64-bit integer)
https://www.opengis.net/def/profile/ogc/0/zarr2,zarr2 profile of DGGS zone data,return zipped Zarr 2.0 (not quantized to DGGH)
https://www.opengis.net/def/profile/ogc/0/zarr2-dggs,zarr2-dggs profile of DGGS zone data,return zipped Zarr 2.0 where one axis corresponds to local sub-zone indices
https://www.opengis.net/def/profile/ogc/0/zarr2-dggs-zoneids,zarr2-dggs-zoneids profile of DGGS zone data,return zipped Zarr 2.0 where one axis corresponds to the global identifiers of sub-zones (textual or 64-bit integer)
https://www.opengis.net/def/profile/ogc/0/covjson,covjson profile of DGGS zone data,return CoverageJSON (not quantized to DGGH)
https://www.opengis.net/def/profile/ogc/0/covjson-dggs,covjson-dggs profile of DGGS zone data,return CoverageJSON where one axis corresponds to local sub-zone indices
https://www.opengis.net/def/profile/ogc/0/covjson-dggs-zoneids,covjson-dggs-zoneids profile of DGGS zone data,return CoverageJSON where one axis corresponds to the global identifiers of sub-zones (textual or 64-bit integer)
http://www.opengis.net/def/profile/OGC/0/rel-as-key,rel-as-key profile of OGC API - Features - Part 5 / OGC API - Common - Part 3: Schemas,as specified in requirement http://www.opengis.net/spec/ogcapi-common-3/1.0/req/profile-references/rel-as-key
http://www.opengis.net/def/profile/OGC/0/rel-as-uri,rel-as-uri profile of OGC API - Features - Part 5 / OGC API - Common - Part 3: Schemas,as specified in requirement http://www.opengis.net/spec/ogcapi-common-3/1.0/req/profile-references/rel-as-uri
http://www.opengis.net/def/profile/OGC/0/rel-as-link,rel-as-link profile of OGC API - Features - Part 5 / OGC API - Common - Part 3: Schemas,as specified in requirement http://www.opengis.net/spec/ogcapi-common-3/1.0/req/profile-references/rel-as-link
http://www.opengis.net/def/profile/OGC/0/codelist-inline,codelist-inline profile of OGC API - Features - Part 5 / OGC API - Common - Part 3: Schemas,as specified in requirement http://www.opengis.net/spec/ogcapi-common-3/1.0/req/profile-codelists/codelist-inline
http://www.opengis.net/def/profile/OGC/0/codelist-ref,codelist-ref profile of OGC API - Features - Part 5 / OGC API - Common - Part 3: Schemas,as specified in requirement http://www.opengis.net/spec/ogcapi-common-3/1.0/req/profile-codelists/codelist-ref
http://www.opengis.net/def/profile/OGC/0/actual-domain,actual-domain profile of OGC API - Features - Part 5 / OGC API - Common - Part 3: Schemas,as specified in requirement http://www.opengis.net/spec/ogcapi-common-3/1.0/req/profile-domains/actual-domain
http://www.opengis.net/def/profile/OGC/0/valid-domain,valid-domain profile of OGC API - Features - Part 5 / OGC API - Common - Part 3: Schemas,as specified in Conformance Test 34 http://www.opengis.net/spec/ogcapi-common-3/1.0/conf/profile-domains/domains
http://www.opengis.net/def/profile/OGC/0/rfc7946,profile to return standard GeoJSON without using any extension,return standard GeoJSON without using any extension
http://www.opengis.net/def/profile/OGC/0/jsonfg,profile to return JSON-FG encoded data,return JSON-FG representation
http://www.opengis.net/def/profile/OGC/0/jsonfg-plus,profile to return JSON-FG representation with GeoJSON compatibility,return JSON-FG representation with GeoJSON compatibility